Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
4500	-17396.48	-17377.61	-18.87857	4.504337	0.241674	0.259025	0.249756	0.249545	0.01598459	0.128112	0.350637	3.7839	0.987055	0.000534901	0.001464	0.0157987	0.0041212	0.975737	0.0242632	0.1275666	0.01774154	0.723029	0	1.042493	3.755937	1	1	1.32232	0.02426315	0.9757368	46.36603	0.00417525	3.755937	0.48009	0.791023	1.08404	1.64485
4600	-17393.9	-17372.68	-21.21838	44.14361	0.251139	0.244826	0.250706	0.25333	0.224201	0.151299	0.265234	3.81188	1.7693	0.000605867	0.00106211	0.0152644	0.00708506	0.589147	0.410853	0.1188664	0.03975391	0.939279	0	1.18324	3.743868	1	1	1.205739	0.4108533	0.5891467	99.07713	0.004004438	3.743868	0.815696	0.944879	1.04219	1.19723
4700	-17393.68	-17374.33	-19.35192	44.90181	0.254406	0.242251	0.254712	0.248631	0.1870922	0.0388652	0.0981867	1.91673	1.83092	0.000315484	0.000797019	0.0155589	0.0148623	0.502519	0.497481	0.04899797	0.0113869	1.92324	0	1.276858	3.749141	1	1	1.454796	0.497481	0.502519	14.10687	0.008117387	3.749141	0.817196	0.945397	1.04189	1.19552
4800	-17389.05	-17372.43	-16.6259	5.047359	0.253596	0.247545	0.249655	0.249203	0.1697623	0.282809	0.594905	1.86919	1.8879	0.00173022	0.00363963	0.0114357	0.0115501	0.989922	0.0100777	0.00129155	0.009127368	0.272474	0	0.9426974	3.506319	1	1	1.200733	0.0100777	0.9899223	47.43386	0.006117999	3.506319	0.504033	0.805086	1.08322	1.60766
4900	-17393.06	-17374.52	-18.54562	4.004408	0.24933	0.24742	0.251682	0.251568	0.1585539	0.407066	0.298194	1.72394	2.58823	0.00269682	0.00197554	0.0114211	0.0171471	0.889838	0.110162	0.009023567	0.01197023	0.160014	0	1.728748	3.035839	1	1	1.414494	0.1101617	0.8898383	44.61154	0.00662501	3.035839	0.454604	0.775361	1.0844	1.68563
5000	-17395.18	-17377.83	-17.35225	3.307126	0.249978	0.256699	0.248368	0.244955	0.03345046	0.0770914	0.146351	2.46221	1.28596	0.00054614	0.0010368	0.0174431	0.00911015	0.55575	0.44425	0.03470858	0.02703878	1.01287	0	0.5423533	3.464929	1	1	1.36513	0.4442499	0.5557501	85.1929	0.007084317	3.464929	0.411709	0.74723	1.08366	1.7574
5100	-17391.11	-17373.66	-17.44581	36.81531	0.255417	0.24596	0.24644	0.252183	0.1682266	0.0727124	0.199834	2.84996	0.0801797	0.000450415	0.00123786	0.017654	0.000496671	0.631009	0.368991	0.009686487	0.002230011	0.344054	0	1.162651	3.93052	1	1	1.166917	0.3689905	0.6310095	97.60976	0.006194473	3.93052	0.798974	0.939017	1.04548	1.21652
5200	-17390.48	-17373.88	-16.60062	5.317639	0.246908	0.244735	0.2566	0.251757	0.0692226	0.106979	0.375938	3.23636	0.535142	0.000641382	0.0022539	0.0194033	0.0032084	0.6474	0.3526	0.0520325	0.02591887	0.480525	0	0.4061365	3.366162	1	1	1.278322	0.3526001	0.6473999	59.71652	0.00599541	3.366162	0.514758	0.811193	1.08271	1.59134
5300	-17393.35	-17375.15	-18.20085	9.027146	0.246513	0.242734	0.259673	0.251081	0.03982215	0.0716624	0.079716	5.31556	0.100013	0.000313161	0.000348355	0.0232287	0.000437053	0.591427	0.408573	0.02328581	0.03115464	0.381727	0	0.4111303	3.229898	1	1	1.201474	0.4085733	0.5914267	72.86777	0.004369947	3.229898	0.614235	0.862785	1.07437	1.44861
5400	-17394.11	-17376.76	-17.34824	5.569513	0.2432	0.256515	0.251944	0.248341	0.02568111	0.190225	0.330381	1.37021	2.0698	0.00130766	0.00227112	0.00941917	0.0142284	0.927409	0.072591	0.04002829	0.02648363	0.235702	0	0.3228288	3.773388	1	1	1.221746	0.07259099	0.927409	68.16241	0.006874258	3.773388	0.52414	0.816442	1.0822	1.57722
