Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
5500	-17387.99	-17376.09	-11.90589	48.60556	0.245907	0.245096	0.261431	0.247566	0.1074813	0.344039	0.751846	2.43726	5.74947	0.000915783	0.00200131	0.00648764	0.0153043	0.374882	0.625118	0.006258054	2.16185	0.657877	0	1.312228	3.801005	1	1	1	1.409211	0.6251176	0.3748824	0.00266186	3.801005	0.824023	0.947741	1.04052	1.18772
5600	-17386.53	-17380.07	-6.468444	38.08154	0.247963	0.248086	0.257232	0.246719	0.07587836	0.211243	0.199935	0.426033	3.02719	0.00126427	0.0011966	0.00254978	0.0181175	0.542274	0.457726	0.02154439	2.14079	2.01765	0	0.6628805	3.786207	1	1	1	1.362365	0.4577263	0.5422737	0.005984927	3.786207	0.802194	0.940158	1.04486	1.21279
5700	-17384.77	-17373.07	-11.7022	13.21495	0.249199	0.251376	0.248798	0.250628	0.214917	0.337256	0.758917	1.31376	5.18373	0.00116	0.0026103	0.00451868	0.0178295	0.422799	0.577201	0.02095312	2.52009	2.36301	0	1.265991	3.772182	1	1	1	1.284195	0.5772013	0.4227987	0.00343951	3.772182	0.67518	0.89045	1.06651	1.36786
5800	-17388.24	-17378.93	-9.30415	39.08141	0.257458	0.244751	0.244425	0.253366	0.06828053	0.476448	0.28109	1.2316	5.39873	0.00156428	0.000922879	0.00404362	0.0177252	0.505836	0.494164	0.005912902	3.28398	1.15092	0	1.132587	3.889371	1	1	1	1.32212	0.494164	0.505836	0.003283219	3.889371	0.804628	0.941017	1.04438	1.20997
5900	-17383.97	-17373.85	-10.1276	40.69356	0.251519	0.250107	0.252542	0.245833	0.06438461	0.163071	0.289104	1.96624	5.93486	0.000541819	0.000960574	0.00653301	0.0197191	0.834695	0.165305	0.007268593	0.54388	1.12473	0	0.8919261	3.751412	1	1	1	1.452458	0.165305	0.834695	0.003322589	3.751412	0.808369	0.94233	1.04365	1.20565
6000	-17387.6	-17373.1	-14.49048	35.40573	0.24967	0.248564	0.252202	0.249564	0.2261792	0.493891	0.7341	3.04328	3.92253	0.00157096	0.00233501	0.00967999	0.0124767	0.476406	0.523594	0.03282957	0.907104	2.19677	0	1.885188	3.700619	1	1	1	1.340444	0.5235939	0.4764061	0.003180779	3.700619	0.795196	0.937671	1.04622	1.22092
6100	-17386	-17378.27	-7.733027	28.76837	0.252397	0.253809	0.237526	0.256268	0.1081651	0.185782	0.361342	0.389363	4.62823	0.00100479	0.00195428	0.00210583	0.0250313	0.405633	0.594367	0.02416759	1.80121	2.07236	0	0.647689	3.295459	1	1	1	1.303984	0.5943668	0.4056332	0.005408406	3.295459	0.773962	0.929955	1.05022	1.24586
6200	-17384.1	-17375.19	-8.912388	35.66162	0.24429	0.24672	0.253474	0.255516	0.156889	0.23799	0.46065	0.0905713	4.16429	0.00152626	0.00295421	0.000580845	0.0267061	0.558975	0.441025	0.0329499	2.71031	3.4871	0	1.045445	3.362234	1	0	1	1.326089	0.4410247	0.5589753	0.006413119	3.362234	0.795898	0.937922	1.04608	1.2201
6300	-17388.85	-17375.58	-13.26911	40.36592	0.248769	0.248572	0.251756	0.250904	0.1140339	0.128826	0.0932589	0.590594	4.32555	0.000872372	0.000631522	0.00399933	0.0292914	0.173123	0.826877	0.003086459	1.74389	0.200984	0	3.155566	3.982545	1	1	1	1.398394	0.8268767	0.1731233	0.006771707	3.982545	0.807627	0.94207	1.04379	1.20651
6400	-17387.05	-17375.17	-11.88221	3.720519	0.250166	0.246413	0.254094	0.249327	0.04233149	0.130478	0.271073	0.742238	4.96036	0.000744245	0.0015462	0.00423371	0.0282938	0.421403	0.578597	0.1009516	1.51331	1.37389	0	1.785652	3.517081	1	1	1	1.483286	0.5785972	0.4214028	0.005703983	3.517081	0.438317	0.764954	1.08433	1.7124
6500	-17387.73	-17374.86	-12.8658	12.73143	0.245196	0.250264	0.256307	0.248232	0.07158169	0.24775	0.318552	0.890922	7.02717	0.000960921	0.00123553	0.00345552	0.0272555	0.105026	0.894974	0.2333561	0.298702	2.44698	0	0.5946389	3.457115	1	1	1	1.274581	0.8949744	0.1050256	0.003878586	3.457115	0.669606	0.888031	1.06731	1.37506
